frame,stamp,lidar_x,lidar_y,lidar_z,enu_x,enu_y,enu_z,error_m,rmse_m
82,1769515220.719784737,9.692437,-0.033063,0.075353,10.573733,-1.269453,0.012600,1.519632,0.893783
83,1769515220.819784641,9.988008,-0.029102,0.077022,10.797657,-1.290727,0.006900,1.500714,0.916269
84,1769515220.919783592,10.282413,-0.029701,0.076900,11.184240,-1.337399,0.013300,1.589783,0.940976
85,1769515221.019783735,10.560760,-0.022161,0.078743,11.358462,-1.369165,0.017000,1.566704,0.964283
86,1769515221.119783878,10.838938,-0.011912,0.080452,11.621285,-1.395328,0.024700,1.590288,0.995201
87,1769515221.219784498,11.130576,0.000773,0.082906,11.898692,-1.414169,0.035200,1.610694,1.019197
88,1769515221.319811821,11.389526,0.007445,0.083168,12.146859,-1.436861,0.041300,1.631357,1.043225
89,1769515221.419811249,11.660897,0.032171,0.088340,12.403484,-1.444553,0.064100,1.653098,1.067485
90,1769515221.519811630,11.942833,0.079330,0.092853,12.645608,-1.468167,0.068900,1.699768,1.092720
91,1769515221.619783640,12.172627,0.050619,0.082719,12.938134,-1.502409,0.077600,1.731451,1.118357
92,1769515221.719783306,12.419854,0.070632,0.089310,13.172249,-1.524972,0.079900,1.764125,1.144507
93,1769515221.819810867,12.658829,0.088137,0.089007,13.380446,-1.545545,0.082500,1.785971,1.170656
94,1769515221.919810295,12.897417,0.108029,0.080733,13.578315,-1.567733,0.087200,1.808823,1.197020
95,1769515222.019782066,13.138383,0.113476,0.091269,13.864312,-1.643348,0.046600,1.901420,1.225639
96,1769515222.119809866,13.375916,0.131909,0.094070,14.032160,-1.679245,0.000900,1.928630,1.254477
97,1769515222.219841003,13.609368,0.153837,0.088202,14.254636,-1.708374,0.003000,1.972679,1.283967
98,1769515222.319812536,13.841377,0.174595,0.080331,14.475719,-1.723469,0.002700,2.002764,1.313783
99,1769515222.419812441,14.070844,0.184348,0.094790,14.760804,-1.725795,0.006600,2.032847,1.343884
100,1769515222.519839048,14.294504,0.205934,0.092997,14.997609,-1.753948,0.009000,2.083879,1.374897
101,1769515222.619811296,14.514168,0.206592,0.093142,15.132733,-1.748222,0.007900,2.052118,1.404172
102,1769515222.719784737,14.733788,0.226215,0.092206,15.352626,-1.769529,0.008600,2.091159,1.434020
103,1769515222.819811106,14.946342,0.252480,0.089701,15.616503,-1.764939,0.010700,2.127284,1.464270
104,1769515222.919810534,15.167206,0.257223,0.095151,15.785852,-1.775790,0.013900,2.126608,1.493894
105,1769515223.019810200,15.396217,0.276672,0.096062,16.041167,-1.767660,0.024200,2.144858,1.523419
106,1769515223.119837523,15.634495,0.295411,0.097137,16.277390,-1.776936,0.025900,2.170947,1.539359
107,1769515223.219840527,15.871622,0.317613,0.093145,16.553858,-1.788210,0.028500,2.214524,1.555737
108,1769515223.319813013,16.133619,0.332815,0.099336,16.886061,-1.797695,0.025200,2.260694,1.586106
109,1769515223.419812918,16.407402,0.350589,0.100584,17.201178,-1.805877,0.019100,2.299362,1.616887
110,1769515223.519811869,16.675961,0.361245,0.100717,17.517402,-1.814335,0.019900,2.334032,1.647947
111,1769515223.619784117,16.987589,0.390705,0.100652,17.809711,-1.829539,0.025300,2.368765,1.679289
112,1769515223.719838619,17.292599,0.422357,0.096620,18.164486,-1.838886,0.025700,2.424548,1.711264
113,1769515223.819866657,17.596752,0.458928,0.100292,18.492180,-1.859439,0.025200,2.486414,1.744198
114,1769515223.919838190,17.919687,0.492771,0.097898,18.847489,-1.870736,0.025400,2.540125,1.777621
115,1769515224.019837856,18.262896,0.481572,0.109815,19.204308,-1.899296,0.024700,2.561647,1.810392
116,1769515224.119810104,18.606319,0.467517,0.123285,19.461120,-1.909638,0.022700,2.528175,1.841123
117,1769515224.219834328,18.897947,0.530155,0.106343,19.904274,-1.937861,0.026500,2.666490,1.874647
118,1769515224.319834948,19.216661,0.565288,0.104879,20.156645,-1.950276,0.028100,2.686545,1.907475
119,1769515224.419834137,19.531294,0.596559,0.103629,20.373840,-1.969932,0.025900,2.702369,1.939237
